Model,Accuracy,Balanced Accuracy,F1-score,Brier Score,Fit Time (s),Predict Time (s)
TabPFN,0.9824561403508771,0.9767441860465116,0.9861111111111112,0.021494431170516887,0.2466592788696289,16.514609813690186
Logistic Regression,0.956140350877193,0.9464461185718964,0.9655172413793104,0.02597475254614538,0.2344520092010498,0.0013096332550048828
Random Forest,0.9649122807017544,0.9580740255486406,0.9722222222222222,0.026893859649122803,0.12986445426940918,0.005031585693359375
