dataset,model,evaluation_type,condition,seed,accuracy,balanced_accuracy,f1_score,fit_time,predict_time
Breast Cancer,TabPFN,seed_sensitivity,seed_0,0,0.9736842105263158,0.9776119402985075,0.9770992366412213,0.3051609992980957,17.749669313430786
Breast Cancer,Logistic Regression,seed_sensitivity,seed_0,0,0.9473684210526315,0.9520482692918386,0.9538461538461539,0.31282496452331543,0.003425121307373047
Breast Cancer,Random Forest,seed_sensitivity,seed_0,0,0.9736842105263158,0.9744363289933312,0.9774436090225563,0.17258358001708984,0.007876873016357422
Breast Cancer,TabPFN,seed_sensitivity,seed_42,42,0.9824561403508771,0.9767441860465116,0.9861111111111112,0.24974894523620605,17.712294340133667
Breast Cancer,Logistic Regression,seed_sensitivity,seed_42,42,0.956140350877193,0.9464461185718964,0.9655172413793104,0.25222349166870117,0.0013670921325683594
Breast Cancer,Random Forest,seed_sensitivity,seed_42,42,0.9649122807017544,0.9580740255486406,0.9722222222222222,0.17711210250854492,0.01038980484008789
Breast Cancer,TabPFN,seed_sensitivity,seed_99,99,0.9824561403508771,0.9736842105263157,0.987012987012987,0.19202470779418945,19.00322675704956
Breast Cancer,Logistic Regression,seed_sensitivity,seed_99,99,0.956140350877193,0.9473684210526316,0.9673202614379085,0.2586507797241211,0.0015017986297607422
Breast Cancer,Random Forest,seed_sensitivity,seed_99,99,0.956140350877193,0.9342105263157895,0.9681528662420382,0.21530389785766602,0.005991697311401367
